shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
P-vwYJ3y,51.54726,-0.09581,44
P-vwYJ3y,51.54722,-0.09536,45
P-vwYJ3y,51.5472,-0.09516,46
P-vwYJ3y,51.5472,-0.09495,47
P-vwYJ3y,51.54718,-0.0943,48
P-vwYJ3y,51.54719,-0.09409,49
P-vwYJ3y,51.5472,-0.09368,50
P-vwYJ3y,51.54721,-0.09347,51
P-vwYJ3y,51.54721,-0.09303,52
P-vwYJ3y,51.5472,-0.09287,53
P-vwYJ3y,51.54719,-0.09273,54
P-vwYJ3y,51.54715,-0.09239,55
P-vwYJ3y,51.54716,-0.09215,56
P-vwYJ3y,51.54714,-0.09189,57
P-vwYJ3y,51.54709,-0.09133,58
P-vwYJ3y,51.54704,-0.09108,59
P-vwYJ3y,51.54699,-0.09046,60
P-vwYJ3y,51.54698,-0.0903,61
P-vwYJ3y,51.54698,-0.0903,62
P-vwYJ3y,51.54697,-0.09022,63
P-vwYJ3y,51.54696,-0.09015,64
P-vwYJ3y,51.54694,-0.08991,65
P-vwYJ3y,51.54689,-0.08926,66
P-vwYJ3y,51.54687,-0.08896,67
P-vwYJ3y,51.54684,-0.08858,68
P-vwYJ3y,51.5468,-0.08819,69
P-vwYJ3y,51.5468,-0.08813,70
P-vwYJ3y,51.54677,-0.08795,71
P-vwYJ3y,51.54674,-0.08779,72
P-vwYJ3y,51.54674,-0.08779,73
P-vwYJ3y,51.54674,-0.08777,74
P-vwYJ3y,51.54672,-0.08768,75
P-vwYJ3y,51.54668,-0.08743,76
P-vwYJ3y,51.54665,-0.08726,77
P-vwYJ3y,51.54664,-0.0872,78
P-vwYJ3y,51.54663,-0.08708,79
P-vwYJ3y,51.54662,-0.08689,80
P-vwYJ3y,51.54662,-0.08683,81
P-vwYJ3y,51.54659,-0.08661,82
P-vwYJ3y,51.54657,-0.08642,83
P-vwYJ3y,51.54656,-0.08623,84
P-vwYJ3y,51.54653,-0.08594,85
P-vwYJ3y,51.54653,-0.0858,86
P-vwYJ3y,51.54653,-0.08569,87
P-vwYJ3y,51.54653,-0.08557,88
P-vwYJ3y,51.54653,-0.08528,89
P-vwYJ3y,51.54654,-0.08488,90
P-vwYJ3y,51.54656,-0.08438,91
P-vwYJ3y,51.54656,-0.08438,92
P-vwYJ3y,51.54658,-0.08399,93
P-vwYJ3y,51.54658,-0.08393,94
P-vwYJ3y,51.54658,-0.08378,95
P-vwYJ3y,51.54659,-0.08364,96
P-vwYJ3y,51.54659,-0.08358,97
P-vwYJ3y,51.54659,-0.08353,98
P-vwYJ3y,51.54657,-0.08311,99
P-vwYJ3y,51.54655,-0.08283,100
P-vwYJ3y,51.54654,-0.08267,101
P-vwYJ3y,51.54659,-0.08266,102
P-vwYJ3y,51.54662,-0.08266,103
P-vwYJ3y,51.54665,-0.08264,104
P-vwYJ3y,51.54669,-0.08261,105
P-vwYJ3y,51.547,-0.08229,106
P-vwYJ3y,51.54708,-0.0822,107
P-vwYJ3y,51.54718,-0.08208,108
P-vwYJ3y,51.54728,-0.08195,109
P-vwYJ3y,51.54761,-0.08143,110
P-vwYJ3y,51.54825,-0.08046,111
P-vwYJ3y,51.5483,-0.08039,112
P-vwYJ3y,51.54834,-0.08033,113
P-vwYJ3y,51.54855,-0.08002,114
P-vwYJ3y,51.54862,-0.07991,115
P-vwYJ3y,51.54867,-0.07983,116
P-vwYJ3y,51.54877,-0.07966,117
P-vwYJ3y,51.54888,-0.07949,118
P-vwYJ3y,51.54898,-0.07932,119
P-vwYJ3y,51.54908,-0.07917,120
P-vwYJ3y,51.54925,-0.07891,121
P-vwYJ3y,51.54932,-0.07879,122
P-vwYJ3y,51.54933,-0.07874,123
P-vwYJ3y,51.54935,-0.07868,124
P-vwYJ3y,51.54935,-0.07861,125
P-vwYJ3y,51.54935,-0.07856,126
P-vwYJ3y,51.54935,-0.0785,127
P-vwYJ3y,51.54941,-0.07806,128
P-vwYJ3y,51.54944,-0.07787,129
P-vwYJ3y,51.54949,-0.07768,130
P-vwYJ3y,51.54958,-0.07741,131
P-vwYJ3y,51.54966,-0.07724,132
P-vwYJ3y,51.54993,-0.07675,133
P-vwYJ3y,51.55024,-0.07622,134
P-vwYJ3y,51.55025,-0.07618,135
P-vwYJ3y,51.55038,-0.07589,136
P-vwYJ3y,51.55039,-0.07587,137
P-vwYJ3y,51.55039,-0.07587,138
P-vwYJ3y,51.55042,-0.07577,139
P-vwYJ3y,51.55055,-0.07535,140
P-vwYJ3y,51.55062,-0.07512,141
P-vwYJ3y,51.55029,-0.07515,142
P-vwYJ3y,51.55009,-0.07517,143
P-vwYJ3y,51.55009,-0.07517,144
P-vwYJ3y,51.55008,-0.07517,145
P-vwYJ3y,51.55,-0.07518,146
P-vwYJ3y,51.54978,-0.07521,147
P-vwYJ3y,51.54918,-0.07529,148
P-vwYJ3y,51.54888,-0.07533,149
P-vwYJ3y,51.54883,-0.07533,150
P-vwYJ3y,51.54873,-0.07534,151
P-vwYJ3y,51.54873,-0.07534,152
P-vwYJ3y,51.54855,-0.07536,153
P-vwYJ3y,51.54846,-0.07537,154
P-vwYJ3y,51.54845,-0.07537,155
P-vwYJ3y,51.54811,-0.07542,156
P-vwYJ3y,51.54792,-0.07546,157
P-vwYJ3y,51.54777,-0.07548,158
P-vwYJ3y,51.5474,-0.07555,159
P-vwYJ3y,51.54732,-0.07556,160
P-vwYJ3y,51.5472,-0.0756,161
P-vwYJ3y,51.54708,-0.07562,162
P-vwYJ3y,51.5469,-0.07564,163
P-vwYJ3y,51.54667,-0.07565,164
P-vwYJ3y,51.54667,-0.07565,165
P-vwYJ3y,51.54665,-0.07565,166
P-vwYJ3y,51.5466,-0.07565,167
P-vwYJ3y,51.54638,-0.07565,168
P-vwYJ3y,51.54633,-0.07565,169
P-vwYJ3y,51.54617,-0.07565,170
P-vwYJ3y,51.54599,-0.07568,171
P-vwYJ3y,51.54582,-0.07572,172
P-vwYJ3y,51.54567,-0.07573,173
P-vwYJ3y,51.54555,-0.07576,174
P-vwYJ3y,51.54537,-0.0758,175
P-vwYJ3y,51.5453,-0.07582,176
P-vwYJ3y,51.54488,-0.07591,177
P-vwYJ3y,51.54477,-0.07593,178
P-vwYJ3y,51.54461,-0.076,179
P-vwYJ3y,51.54435,-0.07603,180
P-vwYJ3y,51.54431,-0.07603,181
P-vwYJ3y,51.541281,-0.076403,182
P-vwYJ3y,51.54104,-0.07647,183
P-vwYJ3y,51.541,-0.07647,184
P-vwYJ3y,51.54096,-0.07648,185
P-vwYJ3y,51.54083,-0.07651,186
P-vwYJ3y,51.54072,-0.07653,187
P-vwYJ3y,51.54069,-0.07653,188
P-vwYJ3y,51.54055,-0.07655,189
P-vwYJ3y,51.53947,-0.0767,190
P-vwYJ3y,51.53899,-0.0767,191
P-vwYJ3y,51.53881,-0.07671,192
P-vwYJ3y,51.53868,-0.07671,193
P-vwYJ3y,51.53852,-0.07672,194
P-vwYJ3y,51.53844,-0.07672,195
P-vwYJ3y,51.53842,-0.07672,196
P-vwYJ3y,51.53824,-0.07674,197
P-vwYJ3y,51.53818,-0.07674,198
P-vwYJ3y,51.53815,-0.07674,199
P-vwYJ3y,51.53815,-0.07674,200
P-vwYJ3y,51.53721,-0.07681,201
P-vwYJ3y,51.53701,-0.07683,202
P-vwYJ3y,51.53666,-0.07686,203
P-vwYJ3y,51.53658,-0.07687,204
P-vwYJ3y,51.53649,-0.07687,205
P-vwYJ3y,51.53641,-0.07687,206
P-vwYJ3y,51.53626,-0.07688,207
P-vwYJ3y,51.53605,-0.0769,208
P-vwYJ3y,51.53573,-0.07691,209
P-vwYJ3y,51.53552,-0.07692,210
P-vwYJ3y,51.53552,-0.07692,211
P-vwYJ3y,51.53533,-0.07692,212
P-vwYJ3y,51.5351,-0.07693,213
P-vwYJ3y,51.53462,-0.07697,214
P-vwYJ3y,51.53452,-0.07698,215
P-vwYJ3y,51.5344,-0.077,216
P-vwYJ3y,51.53415,-0.07702,217
P-vwYJ3y,51.53379,-0.07706,218
P-vwYJ3y,51.53379,-0.07706,219
P-vwYJ3y,51.53331,-0.07712,220
P-vwYJ3y,51.53327,-0.07712,221
P-vwYJ3y,51.53311,-0.07714,222
P-vwYJ3y,51.53293,-0.07714,223
P-vwYJ3y,51.53265,-0.07712,224
P-vwYJ3y,51.53245,-0.07709,225
P-vwYJ3y,51.53213,-0.07704,226
P-vwYJ3y,51.53204,-0.07703,227
P-vwYJ3y,51.53178,-0.07702,228
P-vwYJ3y,51.53139,-0.07705,229
P-vwYJ3y,51.53137,-0.07705,230
P-vwYJ3y,51.53137,-0.07705,231
P-vwYJ3y,51.53114,-0.07709,232
P-vwYJ3y,51.53104,-0.07711,233
P-vwYJ3y,51.5308,-0.07716,234
P-vwYJ3y,51.53069,-0.07718,235
P-vwYJ3y,51.53058,-0.0772,236
P-vwYJ3y,51.53041,-0.07723,237
P-vwYJ3y,51.53015,-0.0773,238
P-vwYJ3y,51.53005,-0.07733,239
P-vwYJ3y,51.52976,-0.07743,240
P-vwYJ3y,51.52965,-0.07747,241
P-vwYJ3y,51.52965,-0.07747,242
P-vwYJ3y,51.52949,-0.07753,243
P-vwYJ3y,51.52945,-0.07755,244
P-vwYJ3y,51.52933,-0.07761,245
P-vwYJ3y,51.52919,-0.07768,246
